parameter	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat	question_type
b[0]	-2.076	0.236	-2.534	-1.682	0.004	0.003	3856.0	2119.0	1.0	AG_Matching
b[1]	1.337	0.568	0.329	2.377	0.009	0.007	4889.0	2436.0	1.0	AG_FITB
b[2]	-2.731	0.431	-3.56	-2.024	0.007	0.005	4362.0	2592.0	1.0	AG_Matching
b[3]	-1.879	0.361	-2.557	-1.289	0.006	0.005	4393.0	2496.0	1.0	AG_Matching
b[4]	-2.428	0.518	-3.39	-1.528	0.009	0.007	3851.0	2393.0	1.0	AG_FITB
b[5]	-2.019	0.286	-2.585	-1.544	0.005	0.003	4723.0	2500.0	1.0	AG_Matching
b[6]	-0.963	0.135	-1.214	-0.722	0.002	0.001	4779.0	2827.0	1.0	HA_MC
b[7]	-1.3	0.217	-1.706	-0.928	0.003	0.003	5055.0	2582.0	1.0	HA_MC
b[8]	-1.152	0.131	-1.399	-0.906	0.002	0.001	4620.0	2795.0	1.0	HA_Pulldown
b[9]	0.92	0.18	0.611	1.256	0.003	0.002	4775.0	2572.0	1.0	HA_MC
b[10]	-2.694	0.712	-4.04	-1.464	0.011	0.008	4545.0	2785.0	1.0	HA_MC
b[11]	-1.298	0.172	-1.61	-0.987	0.003	0.002	4261.0	2483.0	1.0	HA_MC
b[12]	0.841	0.142	0.56	1.102	0.002	0.002	4651.0	2716.0	1.0	HA_MCMS
b[13]	-0.08	0.17	-0.41	0.231	0.002	0.002	6998.0	3049.0	1.01	HA_MC
b[14]	0.86	0.158	0.566	1.148	0.002	0.002	5664.0	3086.0	1.0	HA_MCMS
b[15]	-1.592	0.176	-1.916	-1.266	0.003	0.002	5238.0	2256.0	1.0	HA_MC
b[16]	-1.944	0.551	-2.955	-0.988	0.009	0.007	4348.0	2921.0	1.0	HA_FITB
b[17]	2.246	0.492	1.464	3.188	0.009	0.007	3905.0	2261.0	1.0	HA_MCMS
b[18]	-0.952	0.205	-1.335	-0.6	0.004	0.003	4083.0	2022.0	1.0	HA_FITB
b[19]	-1.536	0.249	-2.011	-1.121	0.004	0.003	4616.0	2575.0	1.0	HA_FITB
a[0]	1.963	0.372	1.286	2.654	0.005	0.004	4398.0	2225.0	1.0	AG_Matching
a[1]	0.22	0.06	0.115	0.332	0.001	0.001	4729.0	3099.0	1.0	AG_FITB
a[2]	1.097	0.21	0.736	1.503	0.003	0.002	4742.0	2680.0	1.0	AG_Matching
a[3]	0.709	0.133	0.478	0.966	0.002	0.001	4144.0	2752.0	1.0	AG_Matching
a[4]	0.576	0.119	0.342	0.787	0.002	0.001	4178.0	2659.0	1.0	AG_FITB
a[5]	1.186	0.204	0.807	1.549	0.003	0.002	4977.0	2672.0	1.0	AG_Matching
a[6]	1.38	0.203	1.012	1.765	0.003	0.002	5645.0	3009.0	1.0	HA_MC
a[7]	0.907	0.147	0.655	1.2	0.002	0.001	5470.0	2787.0	1.0	HA_MC
a[8]	1.793	0.276	1.276	2.305	0.004	0.003	5036.0	2963.0	1.0	HA_Pulldown
a[9]	0.898	0.158	0.607	1.202	0.002	0.002	4731.0	2876.0	1.0	HA_MC
a[10]	0.231	0.054	0.133	0.331	0.001	0.001	4434.0	2755.0	1.0	HA_MC
a[11]	1.256	0.193	0.912	1.628	0.003	0.002	4157.0	2511.0	1.0	HA_MC
a[12]	1.125	0.189	0.78	1.471	0.003	0.002	5519.0	3157.0	1.0	HA_MCMS
a[13]	0.599	0.121	0.376	0.82	0.001	0.001	6660.0	2980.0	1.0	HA_MC
a[14]	0.968	0.163	0.678	1.277	0.002	0.002	5586.0	3301.0	1.0	HA_MCMS
a[15]	1.787	0.293	1.262	2.342	0.004	0.003	5037.0	1964.0	1.0	HA_MC
a[16]	0.386	0.093	0.221	0.556	0.001	0.001	4660.0	3065.0	1.0	HA_FITB
a[17]	0.598	0.13	0.374	0.851	0.002	0.001	3925.0	2328.0	1.0	HA_MCMS
a[18]	0.925	0.168	0.593	1.23	0.002	0.002	4467.0	2456.0	1.0	HA_FITB
a[19]	1.168	0.211	0.792	1.578	0.003	0.002	4621.0	2784.0	1.0	HA_FITB
