parameter	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat	question_type
b[0]	-1.739	0.281	-2.289	-1.28	0.005	0.003	4574.0	2349.0	1.0	AG_Matching
b[1]	-2.332	0.476	-3.199	-1.474	0.008	0.006	3876.0	2601.0	1.0	HA_MC
b[2]	-0.605	0.141	-0.88	-0.363	0.002	0.002	4639.0	3088.0	1.0	HA_FITB
b[3]	-0.939	0.12	-1.17	-0.722	0.002	0.001	4535.0	2564.0	1.0	HA_MC
b[4]	-1.731	0.334	-2.382	-1.181	0.006	0.004	3755.0	2338.0	1.0	HA_FITB
b[5]	-0.285	0.073	-0.42	-0.147	0.001	0.001	4789.0	3445.0	1.0	HA_MCMS
b[6]	-0.114	0.112	-0.313	0.102	0.002	0.001	4806.0	2851.0	1.0	HA_MC
b[7]	-1.048	0.134	-1.295	-0.798	0.002	0.001	4653.0	3011.0	1.0	HA_Pulldown
b[8]	-1.273	0.132	-1.53	-1.038	0.002	0.001	4400.0	2876.0	1.0	HA_MC
b[9]	0.799	0.148	0.548	1.087	0.002	0.002	4170.0	2287.0	1.0	HA_Numeric
a[0]	0.839	0.143	0.58	1.116	0.002	0.001	4560.0	2578.0	1.0	AG_Matching
a[1]	0.485	0.096	0.315	0.673	0.002	0.001	3816.0	2814.0	1.0	HA_MC
a[2]	0.853	0.132	0.624	1.115	0.002	0.001	4511.0	2713.0	1.0	HA_FITB
a[3]	1.377	0.195	0.996	1.718	0.003	0.002	5057.0	2948.0	1.0	HA_MC
a[4]	0.65	0.119	0.437	0.876	0.002	0.001	4142.0	2551.0	1.0	HA_FITB
a[5]	1.763	0.243	1.327	2.231	0.003	0.002	5492.0	3326.0	1.0	HA_MCMS
a[6]	0.837	0.13	0.595	1.078	0.002	0.001	4916.0	2694.0	1.0	HA_MC
a[7]	1.277	0.179	0.943	1.606	0.003	0.002	4961.0	3241.0	1.0	HA_Pulldown
a[8]	1.625	0.24	1.191	2.094	0.003	0.002	4604.0	2706.0	1.0	HA_MC
a[9]	0.919	0.148	0.636	1.181	0.002	0.002	4509.0	2388.0	1.0	HA_Numeric
