student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
600b29e71e99fb7d9decf12b	5fc5eac4807e2b248309ff01	4	2	1	0	AG_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5eac4807e2b248309ff39	4	2	1	1	HA_MCMS	1	0
600b29e71e99fb7d9decf12b	5fc5eac4807e2b248309ff81	4	2	1	2	AG_FITB	1	0
600b29e71e99fb7d9decf12b	5fc5eac4807e2b248309ff92	4	2	1	3	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eac4807e2b248309ffe4	4	2	1	4	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a0042	4	2	1	5	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a00b5	4	2	1	6	AG_FITB	1	0
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a00db	4	2	1	7	AG_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a00ec	4	2	1	8	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a018b	4	2	1	10	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a01bf	4	2	1	11	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a01ff	4	2	1	12	HA_MC	1	0
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a0247	4	2	1	13	HA_MC	1	0
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a0287	4	2	1	14	HA_Pulldown	1	0
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a02db	4	2	1	15	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eac5807e2b24830a032f	4	2	1	16	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eac6807e2b24830a0383	4	2	1	17	HA_Pulldown	1	1
600b29e71e99fb7d9decf12b	5fc5eac6807e2b24830a03d7	4	2	1	18	HA_Pulldown	1	1
600f1ce215f61a6ba3ac1301	5fc5eac4807e2b248309ff01	4	2	1	0	AG_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eac4807e2b248309ff39	4	2	1	1	HA_MCMS	1	0
600f1ce215f61a6ba3ac1301	5fc5eac4807e2b248309ff81	4	2	1	2	AG_FITB	1	0
600f1ce215f61a6ba3ac1301	5fc5eac4807e2b248309ff92	4	2	1	3	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eac4807e2b248309ffe4	4	2	1	4	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a0042	4	2	1	5	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a00b5	4	2	1	6	AG_FITB	1	0
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a00db	4	2	1	7	AG_FITB	1	0
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a00ec	4	2	1	8	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a015f	4	2	1	9	AG_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a018b	4	2	1	10	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a01bf	4	2	1	11	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a01ff	4	2	1	12	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a0247	4	2	1	13	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a0287	4	2	1	14	HA_Pulldown	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a02db	4	2	1	15	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eac5807e2b24830a032f	4	2	1	16	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eac6807e2b24830a0383	4	2	1	17	HA_Pulldown	1	1
600f1ce215f61a6ba3ac1301	5fc5eac6807e2b24830a03d7	4	2	1	18	HA_Pulldown	1	1
6012d3d4e16a3a3762da9beb	5fc5eac4807e2b248309ff01	4	2	1	0	AG_FITB	1	0
6012d3d4e16a3a3762da9beb	5fc5eac4807e2b248309ff39	4	2	1	1	HA_MCMS	1	0
6012d3d4e16a3a3762da9beb	5fc5eac4807e2b248309ff81	4	2	1	2	AG_FITB	1	0
6012d3d4e16a3a3762da9beb	5fc5eac4807e2b248309ff92	4	2	1	3	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eac4807e2b248309ffe4	4	2	1	4	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eac5807e2b24830a0042	4	2	1	5	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eac5807e2b24830a00b5	4	2	1	6	AG_FITB	1	0
6012d3d4e16a3a3762da9beb	5fc5eac5807e2b24830a00db	4	2	1	7	AG_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eac5807e2b24830a00ec	4	2	1	8	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eac5807e2b24830a018b	4	2	1	10	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eac5807e2b24830a01bf	4	2	1	11	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eac5807e2b24830a01ff	4	2	1	12	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eac5807e2b24830a0247	4	2	1	13	HA_MC	1	1
