student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
600b29e71e99fb7d9decf12b	5fc5eb01807e2b24830abf7a	34	32	1	0	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eb01807e2b24830abfcc	34	32	1	1	AG_Matching	1	0
600b29e71e99fb7d9decf12b	5fc5eb01807e2b24830ac033	34	32	1	2	AG_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5eb01807e2b24830ac053	34	32	1	3	HA_FITB	1	0
600b29e71e99fb7d9decf12b	5fc5eb01807e2b24830ac093	34	32	1	4	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb01807e2b24830ac0e7	34	32	1	5	HA_Pulldown	1	0
600b29e71e99fb7d9decf12b	5fc5eb02807e2b24830ac13b	34	32	1	6	HA_MCMS	1	1
600b29e71e99fb7d9decf12b	5fc5eb02807e2b24830ac197	34	32	1	7	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb02807e2b24830ac1d7	34	32	1	8	HA_MCMS	1	1
600b29e71e99fb7d9decf12b	5fc5eb02807e2b24830ac227	34	32	1	9	HA_FITB	1	0
600b29e71e99fb7d9decf12b	5fc5eb02807e2b24830ac267	34	32	1	10	HA_MC	1	0
600b29e71e99fb7d9decf12b	5fc5eb02807e2b24830ac2bb	34	32	1	11	HA_Pulldown	1	1
600b29e71e99fb7d9decf12b	5fc5eb02807e2b24830ac303	34	32	1	12	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb01807e2b24830abf7a	34	32	1	0	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb01807e2b24830abfcc	34	32	1	1	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb01807e2b24830ac033	34	32	1	2	AG_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eb01807e2b24830ac053	34	32	1	3	HA_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eb01807e2b24830ac093	34	32	1	4	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb01807e2b24830ac0e7	34	32	1	5	HA_Pulldown	1	1
600f1ce215f61a6ba3ac1301	5fc5eb02807e2b24830ac13b	34	32	1	6	HA_MCMS	1	1
600f1ce215f61a6ba3ac1301	5fc5eb02807e2b24830ac197	34	32	1	7	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb02807e2b24830ac1d7	34	32	1	8	HA_MCMS	1	1
600f1ce215f61a6ba3ac1301	5fc5eb02807e2b24830ac227	34	32	1	9	HA_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eb02807e2b24830ac267	34	32	1	10	HA_MC	1	0
600f1ce215f61a6ba3ac1301	5fc5eb02807e2b24830ac2bb	34	32	1	11	HA_Pulldown	1	0
600f1ce215f61a6ba3ac1301	5fc5eb02807e2b24830ac303	34	32	1	12	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb01807e2b24830abf7a	34	32	1	0	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb01807e2b24830abfcc	34	32	1	1	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb01807e2b24830ac033	34	32	1	2	AG_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb01807e2b24830ac053	34	32	1	3	HA_FITB	1	0
6012d3d4e16a3a3762da9beb	5fc5eb01807e2b24830ac093	34	32	1	4	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb01807e2b24830ac0e7	34	32	1	5	HA_Pulldown	1	1
6012d3d4e16a3a3762da9beb	5fc5eb02807e2b24830ac13b	34	32	1	6	HA_MCMS	1	1
6012d3d4e16a3a3762da9beb	5fc5eb02807e2b24830ac197	34	32	1	7	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb02807e2b24830ac1d7	34	32	1	8	HA_MCMS	1	1
6012d3d4e16a3a3762da9beb	5fc5eb02807e2b24830ac267	34	32	1	10	HA_MC	1	0
6012d3d4e16a3a3762da9beb	5fc5eb02807e2b24830ac2bb	34	32	1	11	HA_Pulldown	1	1
6012d3d4e16a3a3762da9beb	5fc5eb02807e2b24830ac303	34	32	1	12	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb01807e2b24830abf7a	34	32	1	0	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb01807e2b24830abfcc	34	32	1	1	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb01807e2b24830ac033	34	32	1	2	AG_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb01807e2b24830ac053	34	32	1	3	HA_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb01807e2b24830ac093	34	32	1	4	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb01807e2b24830ac0e7	34	32	1	5	HA_Pulldown	1	1
601209be15f61a6ba16ac48c	5fc5eb02807e2b24830ac13b	34	32	1	6	HA_MCMS	1	1
601209be15f61a6ba16ac48c	5fc5eb02807e2b24830ac197	34	32	1	7	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb02807e2b24830ac1d7	34	32	1	8	HA_MCMS	1	1
601209be15f61a6ba16ac48c	5fc5eb02807e2b24830ac227	34	32	1	9	HA_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb02807e2b24830ac267	34	32	1	10	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb02807e2b24830ac2bb	34	32	1	11	HA_Pulldown	1	1
601209be15f61a6ba16ac48c	5fc5eb02807e2b24830ac303	34	32	1	12	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb01807e2b24830abf7a	34	32	1	0	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb01807e2b24830abfcc	34	32	1	1	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb01807e2b24830ac033	34	32	1	2	AG_FITB	1	0
6014aaf51e99fb3e93012d40	5fc5eb01807e2b24830ac053	34	32	1	3	HA_FITB	1	1
6014aaf51e99fb3e93012d40	5fc5eb01807e2b24830ac093	34	32	1	4	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb01807e2b24830ac0e7	34	32	1	5	HA_Pulldown	1	1
6014aaf51e99fb3e93012d40	5fc5eb02807e2b24830ac13b	34	32	1	6	HA_MCMS	1	1
6014aaf51e99fb3e93012d40	5fc5eb02807e2b24830ac197	34	32	1	7	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb02807e2b24830ac1d7	34	32	1	8	HA_MCMS	1	1
6014aaf51e99fb3e93012d40	5fc5eb02807e2b24830ac227	34	32	1	9	HA_FITB	1	0
6014aaf51e99fb3e93012d40	5fc5eb02807e2b24830ac267	34	32	1	10	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb02807e2b24830ac2bb	34	32	1	11	HA_Pulldown	1	1
6014aaf51e99fb3e93012d40	5fc5eb02807e2b24830ac303	34	32	1	12	HA_MC	1	0
60189d8715f61a164ac2c206	5fc5eb01807e2b24830abf7a	34	32	1	0	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb01807e2b24830abfcc	34	32	1	1	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb01807e2b24830ac033	34	32	1	2	AG_FITB	1	0
60189d8715f61a164ac2c206	5fc5eb01807e2b24830ac053	34	32	1	3	HA_FITB	1	1
60189d8715f61a164ac2c206	5fc5eb01807e2b24830ac093	34	32	1	4	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb01807e2b24830ac0e7	34	32	1	5	HA_Pulldown	1	1
60189d8715f61a164ac2c206	5fc5eb02807e2b24830ac13b	34	32	1	6	HA_MCMS	1	1
60189d8715f61a164ac2c206	5fc5eb02807e2b24830ac197	34	32	1	7	HA_MC	1	1
