parameter	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat	question_type
b[0]	-1.852	0.376	-2.561	-1.228	0.007	0.006	3805.0	2045.0	1.0	AG_FITB
b[1]	-0.058	0.123	-0.288	0.183	0.001	0.002	7157.0	3198.0	1.0	HA_MCMS
b[2]	0.113	0.129	-0.138	0.34	0.002	0.002	6063.0	3164.0	1.0	AG_FITB
b[3]	-2.229	0.406	-2.976	-1.517	0.007	0.006	3707.0	2000.0	1.0	AG_Matching
b[4]	-2.7	0.435	-3.492	-1.954	0.008	0.006	3503.0	2325.0	1.0	AG_Matching
b[5]	-2.363	0.384	-3.069	-1.716	0.007	0.005	4066.0	2608.0	1.0	AG_Matching
b[6]	1.526	0.252	1.096	2.001	0.005	0.003	3607.0	2402.0	1.0	AG_FITB
b[7]	-0.54	0.146	-0.799	-0.258	0.002	0.002	5115.0	2811.0	1.0	AG_FITB
b[8]	-1.519	0.224	-1.937	-1.159	0.004	0.004	3954.0	2470.0	1.0	AG_Matching
b[9]	-0.538	0.128	-0.797	-0.321	0.002	0.001	5330.0	2355.0	1.0	AG_FITB
b[10]	-1.321	0.189	-1.687	-0.982	0.003	0.002	4072.0	2317.0	1.0	HA_MC
b[11]	-2.641	0.471	-3.549	-1.829	0.007	0.006	4879.0	2623.0	1.0	HA_MC
b[12]	-0.693	0.105	-0.881	-0.49	0.001	0.001	5345.0	3168.0	1.0	HA_MC
b[13]	-1.672	0.366	-2.346	-1.029	0.007	0.005	3670.0	2356.0	1.0	HA_MC
b[14]	1.301	0.208	0.93	1.692	0.004	0.003	3619.0	2389.0	1.0	HA_Pulldown
b[15]	-1.97	0.298	-2.5	-1.444	0.006	0.004	3546.0	2354.0	1.0	HA_MC
b[16]	-1.385	0.232	-1.826	-0.989	0.004	0.003	3683.0	2550.0	1.0	HA_MC
b[17]	-0.821	0.161	-1.108	-0.524	0.003	0.002	4390.0	2690.0	1.0	HA_Pulldown
b[18]	-2.384	0.348	-3.061	-1.806	0.006	0.004	4606.0	2352.0	1.0	HA_Pulldown
a[0]	0.7	0.138	0.452	0.978	0.002	0.002	3873.0	1820.0	1.0	AG_FITB
a[1]	0.78	0.124	0.553	1.019	0.001	0.001	9233.0	3387.0	1.0	HA_MCMS
a[2]	0.861	0.149	0.601	1.147	0.002	0.001	6094.0	2977.0	1.0	AG_FITB
a[3]	0.756	0.143	0.506	1.04	0.002	0.002	3829.0	2313.0	1.0	AG_Matching
a[4]	1.279	0.26	0.8	1.759	0.004	0.003	3848.0	2329.0	1.0	AG_Matching
a[5]	0.969	0.179	0.662	1.331	0.003	0.002	4277.0	2312.0	1.0	AG_Matching
a[6]	0.869	0.151	0.599	1.16	0.002	0.002	3802.0	2714.0	1.0	AG_FITB
a[7]	0.933	0.159	0.628	1.219	0.002	0.002	4999.0	3147.0	1.0	AG_FITB
a[8]	1.164	0.196	0.818	1.537	0.003	0.002	4229.0	2661.0	1.0	AG_Matching
a[9]	1.229	0.201	0.862	1.616	0.003	0.002	5340.0	2984.0	1.0	AG_FITB
a[10]	1.212	0.196	0.855	1.587	0.003	0.002	4077.0	2762.0	1.0	HA_MC
a[11]	0.839	0.165	0.528	1.137	0.002	0.002	4970.0	2791.0	1.0	HA_MC
a[12]	1.547	0.236	1.109	1.976	0.003	0.002	5945.0	2851.0	1.0	HA_MC
a[13]	0.562	0.112	0.355	0.771	0.002	0.001	3742.0	2387.0	1.0	HA_MC
a[14]	0.96	0.156	0.664	1.256	0.002	0.002	3987.0	2183.0	1.0	HA_Pulldown
a[15]	1.108	0.2	0.754	1.489	0.003	0.002	3885.0	2327.0	1.0	HA_MC
a[16]	0.915	0.156	0.628	1.213	0.003	0.002	3712.0	2521.0	1.0	HA_MC
a[17]	0.915	0.146	0.657	1.2	0.002	0.002	3877.0	2076.0	1.0	HA_Pulldown
a[18]	1.585	0.331	0.953	2.193	0.005	0.003	4949.0	2307.0	1.0	HA_Pulldown
