parameter	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat	question_type
b[0]	-2.557	0.671	-3.865	-1.471	0.012	0.009	3882.0	2484.0	1.0	AG_FITB
b[1]	-2.646	0.413	-3.386	-1.937	0.007	0.005	4749.0	2612.0	1.0	AG_Matching
b[2]	-2.333	0.382	-3.051	-1.675	0.006	0.005	4792.0	2347.0	1.0	HA_Numeric
b[3]	-0.838	0.103	-1.03	-0.644	0.001	0.001	5945.0	3203.0	1.0	HA_MC
b[4]	-1.21	0.255	-1.693	-0.786	0.004	0.003	4512.0	2770.0	1.0	HA_MC
b[5]	-2.07	0.273	-2.567	-1.595	0.004	0.003	4671.0	2473.0	1.0	HA_MC
b[6]	-1.673	0.341	-2.323	-1.107	0.006	0.005	4346.0	2277.0	1.0	HA_FITB
b[7]	2.956	0.641	1.817	4.1	0.01	0.008	4838.0	2504.0	1.0	HA_FITB
b[8]	0.907	0.138	0.639	1.157	0.002	0.001	5046.0	2937.0	1.0	HA_MCMS
b[9]	-0.01	0.115	-0.235	0.193	0.001	0.002	6339.0	3042.0	1.0	HA_MC
b[10]	-0.556	0.102	-0.761	-0.381	0.001	0.001	6171.0	2907.0	1.0	HA_Pulldown
b[11]	0.533	0.123	0.31	0.764	0.002	0.001	5154.0	2771.0	1.0	HA_MCMS
b[12]	1.054	0.142	0.79	1.315	0.002	0.002	4810.0	2710.0	1.0	HA_MCMS
b[13]	-0.071	0.144	-0.339	0.194	0.002	0.002	7109.0	3016.0	1.01	HA_MC
a[0]	0.293	0.069	0.171	0.423	0.001	0.001	4097.0	2500.0	1.0	AG_FITB
a[1]	0.973	0.178	0.63	1.295	0.003	0.002	4876.0	2734.0	1.0	AG_Matching
a[2]	0.888	0.166	0.589	1.194	0.002	0.002	4730.0	2400.0	1.0	HA_Numeric
a[3]	1.769	0.265	1.309	2.285	0.003	0.002	6098.0	2673.0	1.0	HA_MC
a[4]	0.656	0.119	0.445	0.891	0.002	0.001	5782.0	2488.0	1.0	HA_MC
a[5]	1.336	0.236	0.879	1.747	0.003	0.002	4961.0	2508.0	1.0	HA_MC
a[6]	0.693	0.131	0.46	0.955	0.002	0.001	4184.0	2217.0	1.0	HA_FITB
a[7]	0.396	0.084	0.248	0.559	0.001	0.001	4966.0	2809.0	1.0	HA_FITB
a[8]	1.122	0.172	0.8	1.439	0.002	0.002	5667.0	2946.0	1.0	HA_MCMS
a[9]	0.885	0.133	0.639	1.128	0.002	0.001	6973.0	3305.0	1.0	HA_MC
a[10]	1.41	0.205	1.029	1.789	0.003	0.002	5997.0	2808.0	1.0	HA_Pulldown
a[11]	1.024	0.156	0.728	1.309	0.002	0.001	6060.0	2993.0	1.0	HA_MCMS
a[12]	1.367	0.222	0.952	1.775	0.003	0.002	4903.0	2844.0	1.0	HA_MCMS
a[13]	0.682	0.123	0.448	0.911	0.001	0.001	7460.0	2458.0	1.0	HA_MC
