parameter	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat	question_type
b[0]	-1.491	0.158	-1.772	-1.205	0.003	0.002	3237.0	2377.0	1.0	HA_Pulldown
b[1]	-2.85	0.552	-3.867	-1.92	0.01	0.007	3588.0	2525.0	1.0	HA_FITB
b[2]	-1.282	0.227	-1.72	-0.895	0.004	0.003	4668.0	2635.0	1.0	HA_MC
b[3]	-2.054	0.378	-2.751	-1.424	0.007	0.005	4261.0	2319.0	1.0	HA_MC
b[4]	-1.437	0.173	-1.764	-1.123	0.003	0.002	3426.0	2820.0	1.0	HA_MC
b[5]	-0.882	0.175	-1.223	-0.574	0.003	0.002	3966.0	2210.0	1.0	HA_MC
b[6]	0.327	0.15	0.047	0.613	0.002	0.002	5908.0	3171.0	1.0	HA_Numeric
b[7]	1.43	0.23	1.016	1.85	0.004	0.003	4116.0	2427.0	1.0	HA_MCMS
b[8]	-0.637	0.1	-0.828	-0.455	0.002	0.001	4011.0	3231.0	1.0	HA_MC
b[9]	1.574	0.338	0.958	2.173	0.006	0.004	4176.0	2654.0	1.0	HA_MC
b[10]	-1.054	0.114	-1.265	-0.842	0.002	0.001	3553.0	2623.0	1.0	HA_MC
b[11]	-1.431	0.132	-1.677	-1.185	0.003	0.002	2788.0	2583.0	1.0	HA_Pulldown
b[12]	-0.89	0.111	-1.093	-0.678	0.002	0.001	3929.0	2842.0	1.0	HA_MC
b[13]	-1.412	0.143	-1.686	-1.153	0.002	0.002	3764.0	2826.0	1.0	AG_Matching
b[14]	0.201	0.197	-0.168	0.593	0.003	0.003	5429.0	2283.0	1.0	AG_FITB
b[15]	-1.361	0.16	-1.669	-1.084	0.003	0.002	3664.0	2829.0	1.0	AG_Matching
b[16]	-1.574	0.157	-1.856	-1.271	0.003	0.002	3001.0	2693.0	1.0	AG_Matching
b[17]	-4.271	0.782	-5.739	-2.926	0.012	0.009	4311.0	3018.0	1.0	AG_FITB
b[18]	-1.179	0.132	-1.425	-0.936	0.002	0.002	3342.0	2548.0	1.0	AG_Matching
b[19]	-1.383	0.174	-1.708	-1.071	0.003	0.002	3461.0	2288.0	1.0	AG_Matching
b[20]	4.814	0.838	3.434	6.454	0.013	0.01	4176.0	2712.0	1.0	AG_FITB
b[21]	0.262	0.184	-0.083	0.598	0.002	0.002	6379.0	2446.0	1.0	AG_Matching
b[22]	-1.799	0.257	-2.283	-1.343	0.005	0.004	3007.0	2019.0	1.0	AG_Matching
b[23]	-2.084	0.321	-2.684	-1.528	0.006	0.004	3902.0	1906.0	1.0	AG_FITB
b[24]	-1.013	0.302	-1.624	-0.513	0.005	0.004	3886.0	2093.0	1.0	AG_FITB
a[0]	1.685	0.243	1.26	2.174	0.004	0.003	3893.0	2662.0	1.0	HA_Pulldown
a[1]	0.607	0.118	0.401	0.842	0.002	0.001	3769.0	2263.0	1.0	HA_FITB
a[2]	0.764	0.125	0.521	0.993	0.002	0.001	5063.0	2783.0	1.0	HA_MC
a[3]	0.684	0.125	0.447	0.914	0.002	0.001	4158.0	2317.0	1.0	HA_MC
a[4]	1.327	0.192	0.973	1.68	0.003	0.002	4746.0	2646.0	1.0	HA_MC
a[5]	0.832	0.131	0.589	1.078	0.002	0.001	4416.0	2408.0	1.0	HA_MC
a[6]	0.724	0.12	0.501	0.949	0.002	0.001	5663.0	2465.0	1.0	HA_Numeric
a[7]	0.848	0.135	0.613	1.114	0.002	0.002	3901.0	2502.0	1.0	HA_MCMS
a[8]	1.474	0.184	1.116	1.803	0.003	0.002	4668.0	2701.0	1.0	HA_MC
a[9]	0.514	0.097	0.336	0.696	0.001	0.001	4314.0	2774.0	1.0	HA_MC
a[10]	1.69	0.224	1.301	2.127	0.003	0.002	4263.0	2842.0	1.0	HA_MC
a[11]	2.164	0.327	1.602	2.82	0.005	0.003	4247.0	2651.0	1.0	HA_Pulldown
a[12]	1.521	0.198	1.138	1.876	0.003	0.002	4860.0	3117.0	1.0	HA_MC
a[13]	1.757	0.25	1.304	2.238	0.004	0.003	4390.0	2689.0	1.0	AG_Matching
a[14]	0.547	0.109	0.347	0.754	0.001	0.001	5571.0	2649.0	1.0	AG_FITB
a[15]	1.362	0.192	1.018	1.726	0.003	0.002	4441.0	2649.0	1.0	AG_Matching
a[16]	1.855	0.28	1.302	2.363	0.005	0.003	3436.0	2609.0	1.0	AG_Matching
a[17]	0.896	0.187	0.548	1.232	0.003	0.002	4680.0	3037.0	1.0	AG_FITB
a[18]	1.61	0.224	1.187	2.009	0.003	0.002	4518.0	2909.0	1.0	AG_Matching
a[19]	1.298	0.19	0.951	1.657	0.003	0.002	4000.0	2502.0	1.0	AG_Matching
a[20]	0.483	0.09	0.322	0.646	0.001	0.001	4365.0	2880.0	1.0	AG_FITB
a[21]	0.566	0.104	0.373	0.759	0.001	0.001	5523.0	2492.0	1.0	AG_Matching
a[22]	1.153	0.19	0.791	1.498	0.003	0.002	3622.0	2158.0	1.0	AG_Matching
a[23]	1.043	0.18	0.715	1.384	0.003	0.002	3977.0	2097.0	1.0	AG_FITB
a[24]	0.492	0.102	0.305	0.686	0.002	0.001	3960.0	2480.0	1.0	AG_FITB
