student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
600b29e71e99fb7d9decf12b	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	0
600b29e71e99fb7d9decf12b	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eb17807e2b24830b0574	58	56	1	4	AG_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5eb17807e2b24830b0585	58	56	1	5	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5eb17807e2b24830b05fe	58	56	1	6	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb17807e2b24830b0646	58	56	1	7	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b067a	58	56	1	8	HA_Pulldown	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b06ba	58	56	1	9	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b0702	58	56	1	10	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b074e	58	56	1	11	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b07a2	58	56	1	12	HA_MCMS	1	0
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b080a	58	56	1	13	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b085e	58	56	1	14	HA_MCMS	1	0
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b08c6	58	56	1	15	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b0902	58	56	1	16	HA_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b0942	58	56	1	17	HA_MCMS	1	1
600b29e71e99fb7d9decf12b	5fc5eb18807e2b24830b098b	58	56	1	18	HA_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5eb19807e2b24830b09a9	58	56	1	19	HA_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	0
600f1ce215f61a6ba3ac1301	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb17807e2b24830b0574	58	56	1	4	AG_FITB	1	0
600f1ce215f61a6ba3ac1301	5fc5eb17807e2b24830b0585	58	56	1	5	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb17807e2b24830b05fe	58	56	1	6	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb17807e2b24830b0646	58	56	1	7	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b067a	58	56	1	8	HA_Pulldown	1	1
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b06ba	58	56	1	9	HA_MC	1	0
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b0702	58	56	1	10	HA_MC	1	0
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b074e	58	56	1	11	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b07a2	58	56	1	12	HA_MCMS	1	1
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b080a	58	56	1	13	HA_MC	1	0
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b085e	58	56	1	14	HA_MCMS	1	0
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b08c6	58	56	1	15	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b0902	58	56	1	16	HA_FITB	1	0
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b0942	58	56	1	17	HA_MCMS	1	0
600f1ce215f61a6ba3ac1301	5fc5eb18807e2b24830b098b	58	56	1	18	HA_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eb19807e2b24830b09a9	58	56	1	19	HA_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	0
6012d3d4e16a3a3762da9beb	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb17807e2b24830b0574	58	56	1	4	AG_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb17807e2b24830b0585	58	56	1	5	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb17807e2b24830b05fe	58	56	1	6	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb17807e2b24830b0646	58	56	1	7	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b06ba	58	56	1	9	HA_MC	1	0
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b0702	58	56	1	10	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b074e	58	56	1	11	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b07a2	58	56	1	12	HA_MCMS	1	1
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b080a	58	56	1	13	HA_MC	1	0
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b085e	58	56	1	14	HA_MCMS	1	1
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b08c6	58	56	1	15	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b0902	58	56	1	16	HA_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b0942	58	56	1	17	HA_MCMS	1	0
6012d3d4e16a3a3762da9beb	5fc5eb18807e2b24830b098b	58	56	1	18	HA_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb19807e2b24830b09a9	58	56	1	19	HA_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	0
601209be15f61a6ba16ac48c	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb17807e2b24830b0574	58	56	1	4	AG_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb17807e2b24830b0585	58	56	1	5	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb17807e2b24830b05fe	58	56	1	6	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb17807e2b24830b0646	58	56	1	7	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b067a	58	56	1	8	HA_Pulldown	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b06ba	58	56	1	9	HA_MC	1	0
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b0702	58	56	1	10	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b074e	58	56	1	11	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b07a2	58	56	1	12	HA_MCMS	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b080a	58	56	1	13	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b085e	58	56	1	14	HA_MCMS	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b08c6	58	56	1	15	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b0902	58	56	1	16	HA_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b0942	58	56	1	17	HA_MCMS	1	0
601209be15f61a6ba16ac48c	5fc5eb18807e2b24830b098b	58	56	1	18	HA_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb19807e2b24830b09a9	58	56	1	19	HA_FITB	1	1
601443c000000973ebced276	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
601443c000000973ebced276	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	0
601443c000000973ebced276	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
601443c000000973ebced276	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	1
601443c000000973ebced276	5fc5eb17807e2b24830b0574	58	56	1	4	AG_FITB	1	1
601443c000000973ebced276	5fc5eb17807e2b24830b0585	58	56	1	5	AG_Matching	1	1
601443c000000973ebced276	5fc5eb17807e2b24830b05fe	58	56	1	6	HA_MC	1	1
601443c000000973ebced276	5fc5eb17807e2b24830b0646	58	56	1	7	HA_MC	1	1
601443c000000973ebced276	5fc5eb18807e2b24830b067a	58	56	1	8	HA_Pulldown	1	1
601443c000000973ebced276	5fc5eb18807e2b24830b06ba	58	56	1	9	HA_MC	1	0
601443c000000973ebced276	5fc5eb18807e2b24830b0702	58	56	1	10	HA_MC	1	1
601443c000000973ebced276	5fc5eb18807e2b24830b074e	58	56	1	11	HA_MC	1	1
601443c000000973ebced276	5fc5eb18807e2b24830b07a2	58	56	1	12	HA_MCMS	1	1
601443c000000973ebced276	5fc5eb18807e2b24830b080a	58	56	1	13	HA_MC	1	0
601443c000000973ebced276	5fc5eb18807e2b24830b085e	58	56	1	14	HA_MCMS	1	1
601443c000000973ebced276	5fc5eb18807e2b24830b08c6	58	56	1	15	HA_MC	1	1
601443c000000973ebced276	5fc5eb18807e2b24830b0902	58	56	1	16	HA_FITB	1	1
601443c000000973ebced276	5fc5eb18807e2b24830b0942	58	56	1	17	HA_MCMS	1	0
6014aaf51e99fb3e93012d40	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	0
6014aaf51e99fb3e93012d40	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb17807e2b24830b0574	58	56	1	4	AG_FITB	1	1
6014aaf51e99fb3e93012d40	5fc5eb17807e2b24830b0585	58	56	1	5	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb17807e2b24830b05fe	58	56	1	6	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb17807e2b24830b0646	58	56	1	7	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b067a	58	56	1	8	HA_Pulldown	1	0
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b06ba	58	56	1	9	HA_MC	1	0
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b0702	58	56	1	10	HA_MC	1	0
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b074e	58	56	1	11	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b07a2	58	56	1	12	HA_MCMS	1	0
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b080a	58	56	1	13	HA_MC	1	0
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b085e	58	56	1	14	HA_MCMS	1	0
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b08c6	58	56	1	15	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b0902	58	56	1	16	HA_FITB	1	1
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b0942	58	56	1	17	HA_MCMS	1	0
6014aaf51e99fb3e93012d40	5fc5eb18807e2b24830b098b	58	56	1	18	HA_FITB	1	0
6014aaf51e99fb3e93012d40	5fc5eb19807e2b24830b09a9	58	56	1	19	HA_FITB	1	0
601884d01e99fb0ee6393a54	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
601884d01e99fb0ee6393a54	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	0
601884d01e99fb0ee6393a54	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
601884d01e99fb0ee6393a54	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	0
601308fd00000973eded19df	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
601308fd00000973eded19df	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	1
601308fd00000973eded19df	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
601308fd00000973eded19df	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	1
601308fd00000973eded19df	5fc5eb17807e2b24830b0574	58	56	1	4	AG_FITB	1	1
601308fd00000973eded19df	5fc5eb17807e2b24830b0585	58	56	1	5	AG_Matching	1	1
601308fd00000973eded19df	5fc5eb17807e2b24830b05fe	58	56	1	6	HA_MC	1	1
601308fd00000973eded19df	5fc5eb17807e2b24830b0646	58	56	1	7	HA_MC	1	0
601308fd00000973eded19df	5fc5eb18807e2b24830b067a	58	56	1	8	HA_Pulldown	1	1
601308fd00000973eded19df	5fc5eb18807e2b24830b06ba	58	56	1	9	HA_MC	1	0
601308fd00000973eded19df	5fc5eb18807e2b24830b0702	58	56	1	10	HA_MC	1	0
601308fd00000973eded19df	5fc5eb18807e2b24830b074e	58	56	1	11	HA_MC	1	0
601308fd00000973eded19df	5fc5eb18807e2b24830b07a2	58	56	1	12	HA_MCMS	1	0
601308fd00000973eded19df	5fc5eb18807e2b24830b080a	58	56	1	13	HA_MC	1	0
601308fd00000973eded19df	5fc5eb18807e2b24830b085e	58	56	1	14	HA_MCMS	1	0
601308fd00000973eded19df	5fc5eb18807e2b24830b08c6	58	56	1	15	HA_MC	1	1
601308fd00000973eded19df	5fc5eb18807e2b24830b0902	58	56	1	16	HA_FITB	1	1
601308fd00000973eded19df	5fc5eb18807e2b24830b0942	58	56	1	17	HA_MCMS	1	0
601308fd00000973eded19df	5fc5eb18807e2b24830b098b	58	56	1	18	HA_FITB	1	1
601308fd00000973eded19df	5fc5eb19807e2b24830b09a9	58	56	1	19	HA_FITB	1	1
60189d8715f61a164ac2c206	5fc5eb17807e2b24830b044b	58	56	1	0	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb17807e2b24830b04ae	58	56	1	1	AG_FITB	1	0
60189d8715f61a164ac2c206	5fc5eb17807e2b24830b04bf	58	56	1	2	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb17807e2b24830b0511	58	56	1	3	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb17807e2b24830b0574	58	56	1	4	AG_FITB	1	1
60189d8715f61a164ac2c206	5fc5eb17807e2b24830b0585	58	56	1	5	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb17807e2b24830b05fe	58	56	1	6	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb17807e2b24830b0646	58	56	1	7	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b067a	58	56	1	8	HA_Pulldown	1	0
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b06ba	58	56	1	9	HA_MC	1	0
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b0702	58	56	1	10	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b074e	58	56	1	11	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b07a2	58	56	1	12	HA_MCMS	1	0
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b080a	58	56	1	13	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b085e	58	56	1	14	HA_MCMS	1	1
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b08c6	58	56	1	15	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b0902	58	56	1	16	HA_FITB	1	0
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b0942	58	56	1	17	HA_MCMS	1	0
60189d8715f61a164ac2c206	5fc5eb18807e2b24830b098b	58	56	1	18	HA_FITB	1	0
