student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct	persisted
5f48174400b3a42fe2c6e6a5	5f2e4e8be3a4d9432b13c2db	59	57	1	5	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8be3a4d9432b13c31d	59	57	1	6	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8be3a4d9432b13c34b	59	57	1	7	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8be3a4d9432b13c385	59	57	1	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce42807e2b6ad4d2a9a9	87	85	4	6	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce44807e2b6ad4d2ae86	87	85	4	9	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce44807e2b6ad4d2aed4	87	85	4	10	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e35e3a4d9432b130521	24	22	2	3	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e36e3a4d9432b1305b1	24	22	2	5	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e36e3a4d9432b130613	24	22	2	7	HA_MCMS	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e24e3a4d9432b12dfbd	16	14	3	3	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e87e3a4d9432b13b98c	44	42	4	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e87e3a4d9432b13b9ce	44	42	4	9	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e76e3a4d9432b13965c	75	73	3	9	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e76e3a4d9432b1396aa	75	73	3	10	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e76e3a4d9432b139726	75	73	3	12	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e3de3a4d9432b1315ec	8	6	5	1	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e3de3a4d9432b13178e	8	6	5	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9de3a4d9432b13ebca	53	51	5	7	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9de3a4d9432b13ec32	53	51	5	11	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9de3a4d9432b13ed22	53	51	5	19	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e99e3a4d9432b13e4a9	51	49	3	6	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce45807e2b6ad4d2b180	17	15	4	3	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e96e3a4d9432b13dc5f	38	36	4	6	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e38e3a4d9432b130b58	38	36	4	7	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e38e3a4d9432b130bf4	38	36	4	9	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4eb1e3a4d9432b141c8d	12	10	9	0	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e73e3a4d9432b138f4b	12	10	9	6	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e73e3a4d9432b138fb6	12	10	9	8	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e73e3a4d9432b139092	12	10	9	13	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce42807e2b6ad4d2aa23	95	93	4	6	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4eb7e3a4d9432b1429cf	77	75	5	6	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4eb8e3a4d9432b142a9f	77	75	5	14	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4eb8e3a4d9432b142b07	77	75	5	18	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e30e3a4d9432b12faae	74	72	2	2	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e31e3a4d9432b12fbfa	74	72	2	7	HA_MC	1	0	0
5f48174400b3a42fe2c6e6a5	5f2e4e9ae3a4d9432b13e505	27	25	5	2	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9ae3a4d9432b13e58d	27	25	5	4	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9ae3a4d9432b13e6c7	27	25	5	9	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8ae3a4d9432b13c070	42	40	2	7	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8ae3a4d9432b13c0cd	42	40	2	8	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8ae3a4d9432b13c133	42	40	2	10	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e62e3a4d9432b136a67	50	48	2	4	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea4e3a4d9432b13fc43	6	4	3	0	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9fe3a4d9432b13efec	6	4	3	4	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9fe3a4d9432b13f026	6	4	3	5	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9fe3a4d9432b13f068	6	4	3	6	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9fe3a4d9432b13f0a2	6	4	3	7	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e9fe3a4d9432b13f139	6	4	3	9	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea1e3a4d9432b13f4c1	41	39	1	1	HA_MCMS	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea1e3a4d9432b13f5d3	41	39	1	6	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e21e3a4d9432b12db69	36	34	2	12	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e21e3a4d9432b12db8b	36	34	2	13	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e22e3a4d9432b12dbcf	36	34	2	14	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8ce3a4d9432b13c603	25	23	3	6	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e90e3a4d9432b13cf12	86	84	3	0	AG_Matching	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e90e3a4d9432b13cf22	86	84	3	1	AG_Matching	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e91e3a4d9432b13cfbc	86	84	3	7	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8ae3a4d9432b13bfae	28	26	6	7	AG_Matching	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8ae3a4d9432b13bfce	28	26	6	9	AG_Matching	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e8ae3a4d9432b13bff0	28	26	6	10	AG_FITB	1	0	1
