student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct	persisted
600b29e71e99fb7d9decf12b	5fc5eb05807e2b24830acd61	24	22	2	17	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eb05807e2b24830acd89	24	22	2	19	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eb06807e2b24830acf25	24	22	2	31	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eb06807e2b24830acf39	24	22	2	32	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eb06807e2b24830acfd5	24	22	2	37	AG_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eb06807e2b24830acffb	24	22	2	38	AG_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae7807e2b24830a6de0	61	59	4	1	AG_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae7807e2b24830a6ee0	61	59	4	10	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae7807e2b24830a6ef4	61	59	4	11	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae7807e2b24830a6f1e	61	59	4	12	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae7807e2b24830a6f32	61	59	4	13	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae8807e2b24830a6ffe	61	59	4	17	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae8807e2b24830a7160	61	59	4	21	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae8807e2b24830a7188	61	59	4	22	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae8807e2b24830a71c8	61	59	4	23	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae8807e2b24830a72db	61	59	4	26	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae9807e2b24830a7342	61	59	4	29	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae6807e2b24830a6a61	15	13	5	4	AG_FITB	1	0	1
